unixtime,latitudine,longitudine,altitudine,precisione_orizzontale,precisione_verticale,geometry,delta_tempo,distanza_orizzontale,distanza_verticale,distanza_reale,pendenza,velocita,delta_velocita,accelerazione,pendenza_radianti,accelerazione_max,distanza_percorsa,time_from_start,stato,time_from_start_minuti,velocita_kmh,impianti
1734869323.0,46.502913,12.929987,1694.819548,3.1,3.9,POINT (1439359.568803647 5861310.927802274),2.0,16.25670215643486,-2.710254000000077,16.481075260660337,-9.465078018487207,8.240537630330168,-0.8809835847290532,-0.4404917923645266,-0.16519677538074248,-1.6132194847422532,23835.646945153923,10276.0,Discesa,171.26666666666668,29.665935469188607,Giro d'Italia-Valvan
1734869325.0,46.502957,12.929846,1695.091847,2.9,3.9,POINT (1439343.872755445 5861318.043788986),2.0,17.233780666139193,0.2722989999999754,17.235931735592192,0.9052154981144415,8.617965867796096,0.3774282374659279,0.18871411873296395,0.015798990882177524,0.15498165292008104,23847.52376558176,10278.0,Discesa,171.3,31.024677124065946,Giro d'Italia-Valvan
1734869327.0,46.502988,12.929699,1695.065055,8.4,3.8,POINT (1439327.5087902984 5861323.057328539),2.0,17.114757788794076,-0.026791999999886684,17.114778759316508,-0.08969260854975361,8.557389379658254,-0.06057648813784233,-0.030288244068921166,-0.0015654313338956168,-0.015356875113317835,23859.32172922204,10280.0,Discesa,171.33333333333334,30.806601766769713,Giro d'Italia-Valvan
1734869329.0,46.503031,12.929562,1693.854924,8.1,3.8,POINT (1439312.25802006 5861330.011597809),2.0,16.76149915585513,-1.2101310000000467,16.805126330643677,-4.129422157637495,8.402563165321839,-0.1548262143364152,-0.0774131071682076,-0.0720720128555826,-0.7064145116453734,23870.872996267513,10282.0,Discesa,171.36666666666667,30.24922739515862,Giro d'Italia-Valvan
1734869331.0,46.50309,12.929455,1690.654141,3.0,3.8,POINT (1439300.346834545 5861339.553511111),2.0,15.261862593626923,-3.2007830000000013,15.59389180544221,-11.844647420547943,7.796945902721105,-0.6056172626007337,-0.30280863130036684,-0.20672809622641508,-2.013588501302904,23881.38344977693,10284.0,Discesa,171.4,28.06900524979598,Giro d'Italia-Valvan
1734869340.0,46.503182,12.929427,1689.464866,3.3,3.8,POINT (1439297.2298888029 5861354.432447429),9.0,15.201910955772396,-1.1892749999999523,15.248359640723905,-4.473249104080614,1.694262182302656,-6.102683720418449,-0.6780759689353832,-0.07807292512809323,-0.7651175618156957,23891.833671875593,10293.0,Discesa,171.55,6.099343856289562,Giro d'Italia-Valvan
1734869344.0,46.503268,12.929491,1685.778182,2.7,3.8,POINT (1439304.3543362136 5861368.341041104),4.0,15.62711518250794,-3.686684000000014,16.056100642535416,-13.274268583955845,4.014025160633854,2.319762978331198,0.5799407445827995,-0.23167969258407484,-2.2525002081881014,23902.581867313347,10297.0,Discesa,171.61666666666667,14.450490578281874,Giro d'Italia-Valvan
1734869346.0,46.503314,12.929617,1682.178008,2.7,3.8,POINT (1439318.3805920535 5861375.780530475),2.0,15.877085846957096,-3.6001739999999245,16.28014458848326,-12.775937518368634,8.14007229424163,4.126047133607776,2.063023566803888,-0.22298217472460619,-2.169373051206398,23913.52192964788,10299.0,Discesa,171.65,29.30426025926987,Giro d'Italia-Valvan
1734869348.0,46.50337,12.92975,1682.22276,2.5,3.8,POINT (1439333.1860843292 5861384.837308638),2.0,17.35591634608622,0.04475200000001678,17.35597404220941,0.1477360797960144,8.677987021104705,0.5379147268630753,0.26895736343153764,0.002578481016429524,0.025294870742055907,23925.478957375173,10301.0,Discesa,171.68333333333334,31.24075327597694,Giro d'Italia-Valvan
1734869350.0,46.503388,12.929905,1680.406379,2.8,3.8,POINT (1439350.440605402 5861387.748417886),2.0,17.498372910301462,-1.8163810000000922,17.59239308465831,-5.926240948552497,8.796196542329154,0.11820952122444872,0.05910476061222436,-0.10343241681875295,-1.0128637715320237,23937.543503506244,10303.0,Discesa,171.71666666666667,31.666307552384957,Giro d'Italia-Valvan
